id,identifier,date,format,language,title,type,relation,creator,description
oai:N/A:Manchester~18~18~172~225627,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~172~225627', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000221_0000.jpg', '15m3013']",۱۳۵۸-‎تیر-‎۱۲,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱۱)', 'Ahangar (11)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~173~225629,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~173~225629', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000222_0000.jpg', '15m3014']",۱۳۵۸-‎تیر-‎۱۹,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱۲)', 'Ahangar (12)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~174~225630,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~174~225630', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000223_0000.jpg', '15m3015']",۱۳۵۸-‎تیر-‎۲۶,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱۳)', 'Ahangar (13)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~175~225632,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~175~225632', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000224_0000.jpg', '15m3016']",۱۳۵۸-‎مرداد-‎۲,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱۴)', 'Ahangar (14)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~176~225631,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~176~225631', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000225_0000.jpg', '15m3017']",۱۳۵۸-‎مرداد-‎۹,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱۵)', 'Ahangar (15)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~177~225633,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~177~225633', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000226_0000.jpg', '15m3018']",۱۳۵۸-‎مرداد-‎۱۶,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱۶)', 'Ahangar (16)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3002~219137,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3002~219137', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007198_0000.jpg', 'escholar007198']",۱۳۳۰-‎خرداد-‎۱۱,Bookreader,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۱)', 'Apadana (11)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3003~219136,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3003~219136', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007199_0000.jpg', 'escholar007199']",۱۳۳۰-‎خرداد-‎۱۸,Bookreader,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۲)', 'Apadana (12)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3004~219138,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3004~219138', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007200_0000.jpg', 'escholar007200']",۱۳۳۰-‎خرداد-‎۲۵,Bookreader,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۳)', 'Apadana (13)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3005~219144,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3005~219144', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007201_0000.jpg', 'escholar007201']",۱۳۳۰-‎تیر-‎۱,Bookreader,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۴)', 'Apadana (14)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3006~219145,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3006~219145', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007202_0000.jpg', 'escholar007202']",۱۳۳۰-‎تیر-‎۸,Bookreader,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۵)', 'Apadana (15)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3007~219147,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3007~219147', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007203_0000.jpg', 'escholar007203']",۱۳۳۰-‎تیر-‎۱۵,Bookreader,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۶)', 'Apadana (16)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3008~219143,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3008~219143', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007204_0000.jpg', 'escholar007204']",۱۳۳۰-‎تیر-‎۲۲,Bookreader,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۷)', 'Apadana (17)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~3009~219141,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~3009~219141', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007205_0000.jpg', 'escholar007205']",۱۳۳۰-‎تیر-‎۲۹,PDF,"['ira', 'Persian']","['آپادانا', 'Āpādānā (۱۸)', 'Apadana (18)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2970~219101,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2970~219101', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007166_0000.jpg', 'escholar007166']",۱۳۳۱-‎شهریور-‎۱۲,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۰۷)', 'Apadana (Pan-Iranist) (107)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2971~219102,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2971~219102', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007167_0000.jpg', 'escholar007167']",۱۳۳۱-‎شهریور-‎۱۶,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۰۸)', 'Apadana (Pan-Iranist) (108)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2972~219103,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2972~219103', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007168_0000.jpg', 'escholar007168']",۱۳۳۱-‎شهریور-‎۲۳,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۰۹)', 'Apadana (Pan-Iranist) (109)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2973~219105,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2973~219105', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007169_0000.jpg', 'escholar007169']",۱۳۳۱-‎شهریور-‎۲۶,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۰)', 'Apadana (Pan-Iranist) (110)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2974~219104,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2974~219104', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007170_0000.jpg', 'escholar007170']",۱۳۳۱-‎شهریور-‎۳۰,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۱)', 'Apadana (Pan-Iranist) (111)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2975~219106,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2975~219106', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007171_0000.jpg', 'escholar007171']",۱۳۳۱-‎مهر-‎۲,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۲)', 'Apadana (Pan-Iranist) (112)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2976~219108,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2976~219108', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007172_0000.jpg', 'escholar007172']",۱۳۳۱-‎مهر-‎۱۳,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۳)', 'Apadana (Pan-Iranist) (113)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2977~219109,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2977~219109', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007173_0000.jpg', 'escholar007173']",۱۳۳۱-‎مهر-‎۱۶,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۴)', 'Apadana (Pan-Iranist) (114)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2978~219107,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2978~219107', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007174_0000.jpg', 'escholar007174']",۱۳۳۱-‎دی-‎۳۰,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۵)', 'Apadana (Pan-Iranist) (115)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2979~219110,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2979~219110', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007175_0000.jpg', 'escholar007175']",۱۳۳۱-‎بهمن-‎۲,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۶)', 'Apadana (Pan-Iranist) (116)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2980~219111,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2980~219111', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007176_0000.jpg', 'escholar007176']",۱۳۳۱-‎بهمن-‎۱۵,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۷)', 'Apadana (Pan-Iranist) (117)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2981~219112,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2981~219112', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007177_0000.jpg', 'escholar007177']",۱۳۳۱-‎بهمن-‎۲۸,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۸)', 'Apadana (Pan-Iranist) (118)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2982~219113,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2982~219113', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007178_0000.jpg', 'escholar007178']",۱۳۳۱-‎اسفند-‎۵,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۱۹)', 'Apadana (Pan-Iranist) (119)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2983~219114,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2983~219114', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007179_0000.jpg', 'escholar007179']",۱۳۳۲-‎فروردین-‎,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۲۰)', 'Apadana (Pan-Iranist) (120)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2984~219115,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2984~219115', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007180_0000.jpg', 'escholar007180']",۱۳۳۲-‎خرداد-‎۵,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۲۹)', 'Apadana (Pan-Iranist) (129)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2985~219116,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2985~219116', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007181_0000.jpg', 'escholar007181']",۱۳۳۲-‎خرداد-‎۱۹,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۰)', 'Apadana (Pan-Iranist) (130)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2986~219119,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2986~219119', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007182_0000.jpg', 'escholar007182']",۱۳۳۲-‎خرداد-‎۲۹,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۱)', 'Apadana (Pan-Iranist) (131)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2987~219117,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2987~219117', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007183_0000.jpg', 'escholar007183']",۱۳۳۲-‎تیر-‎۲,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۲)', 'Apadana (Pan-Iranist) (132)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2988~219118,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2988~219118', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007184_0000.jpg', 'escholar007184']",۱۳۳۲-‎تیر-‎۹,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۳)', 'Apadana (Pan-Iranist) (133)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2989~219120,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2989~219120', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007185_0000.jpg', 'escholar007185']",۱۳۳۲-‎تیر-‎۲۳,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۶)', 'Apadana (Pan-Iranist) (136)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2990~219123,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2990~219123', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007186_0000.jpg', 'escholar007186']",۱۳۳۲-‎تیر-‎۱۱,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۷)', 'Apadana (Pan-Iranist) (137)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2991~219121,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2991~219121', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007187_0000.jpg', 'escholar007187']",۱۳۳۲-‎تیر-‎۱۲,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۸)', 'Apadana (Pan-Iranist) (138)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2992~219124,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2992~219124', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007188_0000.jpg', 'escholar007188']",۱۳۳۲-‎تیر-‎۱۵,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۳۹)', 'Apadana (Pan-Iranist) (139)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2993~219122,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2993~219122', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007189_0000.jpg', 'escholar007189']",۱۳۳۲-‎مرداد-‎۱۸,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۴۰)', 'Apadana (Pan-Iranist) (140)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2994~219133,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2994~219133', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007190_0000.jpg', 'escholar007190']",۱۳۳۲-‎مرداد-‎۱۹,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۴۱)', 'Apadana (Pan-Iranist) (141)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~2995~219129,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~2995~219129', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/6835/escholar007191_0000.jpg', 'escholar007191']",۱۳۳۲-‎مرداد-‎۲۰,PDF,"['ira', 'Persian']","['آپادانا - پان ایرانیسم', 'Āpādānā (Pān Īrānīst) (۱۴۲)', 'Apadana (Pan-Iranist) (142)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
